,Unnamed: 0,Column,imdb_title_id,title,year,genre,duration,country,language,director,production_company,budget,usa_gross_income,worlwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income
16,625,625,tt0112760,Cutthroat Island,1995,"Action, Adventure, Comedy",124,"France, Italy, Germany, USA",English,Renny Harlin,Beckner/Gorman Productions,98000000,10017322,10017322,10.63,2.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017322,255000211
17,2026,2026,tt0297284,Mindhunters,2004,"Crime, Horror, Mystery",106,"Netherlands, UK, Finland, USA",English,Renny Harlin,Dimension Films,27000000,4480744,21148829,14.406,3.8,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,278019771,255000211
18,825,825,tt0116908,The Long Kiss Goodnight,1996,"Action, Crime, Drama",121,USA,English,Renny Harlin,Forge,65000000,33447612,89456761,11.031,3.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89456761,255000211
19,1264,1264,tt0132245,Driven,2001,"Action, Drama, Sport",116,"USA, Canada, Australia","English, German, Spanish",Renny Harlin,Franchise Pictures,94000000,32720065,54744738,13.262,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,106371651,255000211
20,3017,3017,tt0475944,The Covenant,2006,"Action, Adventure, Fantasy",97,USA,English,Renny Harlin,Screen Gems,20000000,23380495,37597471,15.338,2.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196114570,255000211
21,3542,3542,tt1043726,The Legend of Hercules,2014,"Action, Adventure, Fantasy",99,USA,English,Renny Harlin,Summit Entertainment,70000000,18848538,61279452,16.912,2.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,829746820,255000211
22,3688,3688,tt1160368,12 Rounds,2009,"Action, Crime, Thriller",108,USA,English,Renny Harlin,Fox Atomic,22000000,12234694,17280326,15.209,-2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37466538,255000211
23,4065,4065,tt1486193,5 Days of War,2011,"Action, Drama, War",113,"Georgia, USA",English,Renny Harlin,Rex Media,12000000,17479,316944,15.841,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,316944,255000211
24,16,16,tt0099291,Come See the Paradise,1990,"Drama, Romance, War",138,USA,"English, Japanese",Alan Parker,Twentieth Century Fox,17500000,947306,947306,9.366,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2789968301,141047179
25,779,779,tt0116250,Evita,1996,"Biography, Drama, History",135,USA,English,Alan Parker,Hollywood Pictures,55000000,50047179,141047179,11.031,3.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,672806292,141047179
26,1993,1993,tt0289992,The Life of David Gale,2003,"Crime, Drama, Thriller",130,"USA, Germany, UK, Spain","English, Spanish",Alan Parker,Universal Pictures,38000000,19955598,38955598,13.879,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1670400637,141047179
27,117,117,tt0101605,The Commitments,1991,"Comedy, Drama, Music",118,"Ireland, UK, USA","English, Irish",Alan Parker,Beacon Communications,12000000,14919570,14919570,9.355,-0.1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,211989043,141047179
28,572,572,tt0111001,The Road to Wellville,1994,"Comedy, Drama",118,USA,English,Alan Parker,Beacon Communications,25000000,6562513,6562513,10.352,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211989043,141047179
29,1340,1340,tt0145653,Angela's Ashes,1999,Drama,145,"USA, Ireland",English,Alan Parker,David Brown Productions,50000000,13042112,13042112,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13042112,141047179
30,26,26,tt0099460,Downtown,1990,"Action, Comedy, Crime",96,USA,English,Richard Benjamin,Twentieth Century Fox,10000000,2346150,2346150,9.366,1.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,104942695
31,1862,1862,tt0266747,Marci X,2003,"Comedy, Music",84,"Germany, USA",English,Richard Benjamin,Paramount Pictures,20000000,1648818,1675706,13.879,2.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1123794079,104942695
32,59,59,tt0100140,Mermaids,1990,"Comedy, Drama, Romance",110,USA,English,Richard Benjamin,Orion Pictures,20000000,35419397,35419397,9.366,1.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,191502426,104942695
33,839,839,tt0117104,Mrs. Winterbourne,1996,"Comedy, Drama, Romance",105,USA,English,Richard Benjamin,TriStar Pictures,25000000,10082005,10082005,11.031,3.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,314178011,104942695
34,401,401,tt0107478,Made in America,1993,Comedy,111,"USA, France","English, Japanese",Richard Benjamin,Canal+,22000000,44942695,104942695,9.952,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196567262,104942695
35,27,27,tt0099487,Edward Scissorhands,1990,"Drama, Fantasy, Romance",105,USA,English,Tim Burton,Twentieth Century Fox,20000000,56362352,86024005,9.366,1.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2789968301,1025467110
36,1270,1270,tt0133152,Planet of the Apes,2001,"Action, Adventure, Sci-Fi",119,USA,English,Tim Burton,Twentieth Century Fox,100000000,180011740,362211740,13.262,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,1025467110
37,4471,4471,tt1935859,Miss Peregrine's Home for Peculiar Children,2016,"Adventure, Drama, Fantasy",127,"USA, UK, Belgium, Canada",English,Tim Burton,Twentieth Century Fox,110000000,87242834,296482446,17.689,1.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,1025467110
