,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
695,2000,123,40000000,33519628,55707411,13.130999999999998,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,349464664,4,259
696,1997,140,25000000,13130349,13130349,11.522,4.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1341932398,236350661,8,259
697,1998,119,65000000,115821495,250821495,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,250821495,6,259
698,1996,133,55000000,56569216,121969216,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,121969216,3,259
699,1998,131,60000000,57167405,102367405,12.038,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,121969216,3,259
700,2005,128,50000000,50824620,93974620,14.913,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,93974620,3,259
701,2006,88,50000000,28142535,55181129,15.338,2.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,102992536,2,259
702,2011,129,40000000,31847881,55247881,15.841,1.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,108901967,3,259
703,1992,118,35000000,144731527,321731527,9.685,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,321731527,7,259
704,1995,132,50000000,30303072,30303072,10.63,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,321731527,7,259
705,1997,135,75000000,75982834,136982834,11.522,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,321731527,7,259
706,1998,127,140000000,130444603,285444603,12.038,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,321731527,7,259
707,1996,113,92000000,241721524,494471524,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,494471524,5,259
708,1995,170,60000000,67436818,187436818,10.63,2.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,217663246,8,259
709,2012,85,95000000,86907746,104907746,16.197,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,514837517,9,259
710,2005,140,150000000,206852432,373413297,14.913,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1081041287,9,259
711,2008,152,185000000,535234033,1004934033,15.605,-0.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1081041287,9,259
712,2012,164,250000000,448139099,1081041287,16.197,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,1081041287,9,259
713,2010,148,160000000,292576195,829895144,15.599,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,1081041287,9,259
714,2001,122,45000000,76631907,104876233,13.262,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,203567857,12,259
715,1990,146,25000000,46836214,46879633,9.366,1.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,392000694,13,259
716,2006,151,90000000,132384315,291465034,15.338,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,392000694,13,259
717,1999,86,70000000,23159305,23179225,12.611,4.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1242805359,5,259
718,2012,99,150000000,83670083,301970083,16.197,2.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,485004754,5,259
719,1993,110,28000000,63270710,63270710,9.952,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,201957688,9,259
720,2018,120,30000000,174532921,238532921,18.638,2.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,375740705,6,259
721,2006,97,35000000,10144010,15978422,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1341932398,359200044,7,259
722,1990,127,22000000,86303188,221303188,9.366,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,221303188,4,259
723,1993,141,45000000,100768056,195268056,9.952,2.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,221303188,4,259
724,2007,124,55000000,5758950,8382477,15.626,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1341932398,242875078,7,259
725,1997,144,57000000,60944660,152944660,11.522,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,152944660,7,259
726,1992,98,7500000,13272113,13272113,9.685,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,26325256,7,259
727,2001,105,57000000,17008282,19334145,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1341932398,320689294,8,259
728,1994,119,45000000,92115211,117615211,10.352,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,336567531,17,259
729,1995,121,100000000,184069126,336567531,10.63,2.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,336567531,17,259
730,1997,125,125000000,107353792,238235915,11.522,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,336567531,17,259
731,2004,143,70000000,51268815,154648887,14.406,3.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1341932398,336567531,17,259
732,2005,97,70000000,43000262,88933562,14.913,3.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,243240178,13,259
733,2007,97,45000000,93466502,175372502,15.626,1.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,243240178,13,259
734,1995,127,50000000,67659560,189859560,10.63,2.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,497409852,7,259
735,2000,130,140000000,182618434,328718434,13.130999999999998,4.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,497409852,7,259
736,2004,163,175000000,133378256,497409852,14.406,3.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1341932398,497409852,7,259
737,2006,98,160000000,60674817,181674817,15.338,2.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,497409852,7,259
738,2011,114,200000000,116601172,219851172,15.841,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,609447995,10,259
739,2010,117,80000000,43313890,81124129,15.599,2.6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,609447995,10,259
740,2007,99,20000000,25612520,30666930,15.626,1.9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,30666930,6,259
741,1993,115,57000000,58055768,58055768,9.952,2.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,58055768,2,259
742,2006,131,65000000,43545364,43545364,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1341932398,371353001,6,259
743,1996,133,25000000,11092559,11135803,11.031,3.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,223664608,7,259
744,2007,122,70000000,36793804,69787394,15.626,1.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,223664608,7,259
745,2003,105,25000000,36105433,50732139,13.879,2.9,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,50732139,3,259
746,2004,91,30000000,14071441,21289826,14.406,3.8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,50732139,3,259
747,2011,100,42000000,37662162,89162162,15.841,1.6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1341932398,393853583,6,259
748,2015,122,100000000,25020758,93920758,17.404,2.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,758239851,18,259
749,2014,100,60000000,257760692,468060692,16.912,2.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,468060692,4,259
750,2013,113,60000000,46000903,105200903,16.495,1.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,856085151,5,259
751,1999,114,75000000,60652036,107752036,12.611,4.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,251171807,8,259
752,2005,108,40000000,32064800,68766121,14.913,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1341932398,222809600,6,259
753,2015,114,50000000,26461644,71561644,17.404,2.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,222809600,6,259
754,1990,106,50000000,41482207,41482207,9.366,1.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1341932398,68514844,4,259
755,2003,91,80000000,20991364,68514844,13.879,2.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,68514844,4,259
756,1991,143,48000000,165493908,390493908,9.355,-0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,390493908,6,259
757,1992,84,15000000,44065653,44065653,9.685,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,44065653,3,259
758,2012,101,25000000,60457138,99357138,16.197,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1341932398,99357138,4,259
759,1995,97,17000000,10015449,10015449,10.63,2.7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,796093802,5,259
760,2004,142,130000000,249975996,796093802,14.406,3.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,796093802,5,259
761,2013,91,100000000,274092705,723192705,16.495,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1341932398,796093802,5,259
762,2018,110,70000000,140218711,297718711,18.638,2.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,694394724,5,259
763,2006,105,50000000,48751189,82751189,15.338,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,82751189,3,259
764,2004,95,19000000,51438175,70067909,14.406,3.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,70067909,2,259
765,2009,115,30000000,15051977,33334176,15.209,-2.5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1341932398,33334176,3,259
766,2013,131,190000000,101802906,411002906,16.495,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,411002906,7,259
767,2004,103,45000000,32682342,65470529,14.406,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,346118277,8,259
768,2008,104,70000000,97690976,223241637,15.605,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,622674139,6,259
769,1994,128,55000000,83015089,214015089,10.352,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,214015089,13,259
770,1998,134,80000000,37020277,37020277,12.038,4.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1341932398,214015089,13,259
771,2015,111,150000000,35088320,128388320,17.404,2.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,150847207,6,259
772,2010,106,125000000,163214888,493214993,15.599,2.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,493214993,6,259
773,2007,91,35000000,43799818,69327279,15.626,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,178846899,6,259
774,2007,116,100000000,72006777,97838349,15.626,1.9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,285176741,6,259
775,2014,141,50000000,47119388,84419388,16.912,2.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,285176741,6,259
776,1990,96,10000000,47410827,47410827,9.366,1.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,47410827,1,259
777,1990,102,25000000,39404261,39404261,9.366,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,51018161,2,259
778,1990,120,10000000,21633874,21633874,9.366,1.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,547426372,24,259
779,1992,130,14400000,101157447,159157447,9.685,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1341932398,547426372,24,259
780,1993,138,30000000,31130999,135130999,9.952,2.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,547426372,24,259
781,1995,135,24000000,71516617,182016617,10.63,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,547426372,24,259
782,1997,155,35000000,25105255,25105255,11.522,4.4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,547426372,24,259
783,1999,127,55000000,16649768,16649768,12.611,4.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,547426372,24,259
784,2003,138,25000000,90135191,156595191,13.879,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,547426372,24,259
785,2004,132,30000000,100492203,216763646,14.406,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1341932398,547426372,24,259
786,2009,134,60000000,37491364,122426792,15.209,-2.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1341932398,547426372,24,259
787,2010,129,50000000,32746941,105197635,15.599,2.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1341932398,547426372,24,259
788,2014,133,58800000,350126372,547426372,16.912,2.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,547426372,24,259
789,2018,94,30000000,36276286,57076286,18.638,2.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,547426372,24,259
790,2018,116,50000000,103804407,174504407,18.638,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,547426372,24,259
791,1990,119,12000000,1963207,1963207,9.366,1.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,1963207,1,259
792,1991,101,25000000,33691313,33691313,9.355,-0.1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,33691313,1,259
793,1991,97,8000000,47624353,47624353,9.355,-0.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,47624353,3,259
794,1992,124,32000000,28590665,28590665,9.685,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,41480851,4,259
795,1992,103,35000000,83563139,156563139,9.685,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,368875760,8,259
796,1993,130,44000000,183875760,368875760,9.952,2.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,368875760,8,259
797,1998,107,60000000,67638368,128038368,12.038,4.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,368875760,8,259
798,2002,108,85000000,40077257,78382433,13.493,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,368875760,8,259
799,1993,101,18000000,31181347,31181347,9.952,2.8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,31181347,2,259
800,1994,107,20000000,19306362,19306362,10.352,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1341932398,19306362,1,259
801,1994,83,6200000,126247,126247,10.352,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,126247,1,259
802,1994,110,45000000,57362582,170362582,10.352,4.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,170362582,2,259
803,1994,191,63000000,25052000,25052000,10.352,4.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,81240406,3,259
804,1995,91,50000000,11534477,11534477,10.63,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,11534477,1,259
805,1995,100,60000000,50024083,104324083,10.63,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,104324083,3,259
806,1996,91,45000000,20351264,20351264,11.031,3.8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,20351264,1,259
807,1998,89,60000000,23384939,23384939,12.038,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,23384939,2,259
808,1997,105,60000000,16228448,16228448,11.522,4.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,16228448,1,259
809,1997,115,50000000,10541523,10541523,11.522,4.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,10541523,1,259
810,1997,93,25000000,36400360,36400360,11.522,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,36400360,1,259
811,1999,159,65000000,55691208,162091208,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1341932398,162091208,1,259
812,1998,86,40000000,22510798,22510798,12.038,4.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,90754475,2,259
813,2005,77,40000000,53359111,117195061,14.913,3.5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,117195061,1,259
814,1999,136,63000000,171479930,465343787,12.611,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,828770175,6,259
815,2003,138,150000000,281576461,828770175,13.879,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,828770175,6,259
816,2003,129,150000000,139313948,427344031,13.879,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,828770175,6,259
817,2008,135,120000000,43945766,93945766,15.605,-0.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,828770175,6,259
818,2015,127,176000000,47387723,183887723,17.404,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,828770175,6,259
819,1998,101,85000000,34562556,34562556,12.038,4.5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,39267515,2,259
820,1999,98,20000000,10570375,10570375,12.611,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,10570375,1,259
821,1999,86,4000000,187152,187152,12.611,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,28818995,2,259
822,2000,115,25000000,55973336,91036760,13.130999999999998,4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,91036760,5,259
823,2001,101,50000000,51758599,79958599,13.262,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,91036760,5,259
824,2003,101,25000000,34712347,56489558,13.879,2.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,91036760,5,259
825,2000,118,73000000,21471685,29725663,13.130999999999998,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,29725663,1,259
826,2000,106,80000000,17480890,33463969,13.130999999999998,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1341932398,33463969,1,259
827,2001,119,40000000,25288103,65754228,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,65754228,1,259
828,2001,104,34000000,19753553,19772447,13.262,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,53293628,2,259
829,2002,101,35000000,30336800,45479110,13.493,1.7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1341932398,45479110,2,259
830,2001,87,60000000,93385515,200687492,13.262,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,200687492,2,259
831,2001,96,29000000,20384136,36684136,13.262,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1341932398,72527595,2,259
832,2001,91,42000000,41867960,68467960,13.262,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1341932398,68467960,2,259
833,2002,91,20000000,30113491,68349884,13.493,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1341932398,68467960,2,259
834,2002,96,80000000,56832494,123729176,13.493,1.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,123729176,2,259
835,2002,99,30000000,17322606,45867333,13.493,1.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,45867333,1,259
836,2002,109,16000000,16357770,21672284,13.493,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,21672284,1,259
837,2004,104,100000000,40202379,82102379,14.406,3.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,82102379,1,259
838,2004,84,40000000,21215059,46546197,14.406,3.8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,46546197,1,259
839,2005,157,150000000,290417905,896346229,14.913,3.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,896346229,6,259
840,2005,121,100000000,75976178,230884728,14.913,3.5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1341932398,865011746,7,259
841,2007,101,150000000,256393010,585349010,15.626,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1341932398,865011746,7,259
842,2009,101,35000000,10275638,17840867,15.209,-2.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1341932398,237202299,5,259
843,2006,108,100000000,198000317,384335608,15.338,2.9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,384335608,1,259
844,2007,138,150000000,292353413,938580405,15.626,1.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1341932398,6,259
845,2009,153,250000000,302305431,934326396,15.209,-2.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1341932398,6,259
846,2011,130,125000000,381409310,1341932398,15.841,1.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,1341932398,6,259
847,2005,104,50000000,80270227,111069515,14.913,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,111069515,5,259
848,2006,110,17500000,19185184,20387597,15.338,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,111069515,5,259
849,2009,101,100000000,77233467,100086793,15.209,-2.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,100086793,4,259
850,2005,126,35000000,18337722,25211175,14.913,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,45710059,3,259
851,2009,162,130000000,107509799,185258983,15.209,-2.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1341932398,873634919,8,259
852,2006,117,65000000,210614939,456068181,15.338,2.9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,873634919,8,259
853,2013,143,225000000,291045518,668045518,16.495,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,873634919,8,259
854,2017,120,300000000,229024295,657924295,18.108,2.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,873634919,8,259
855,2011,110,82000000,36392502,89792502,15.841,1.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,873634919,8,259
856,2010,97,80000000,55675313,140073390,15.599,2.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,873634919,8,259
857,2016,151,250000000,330360194,873634919,17.689,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,873634919,8,259
858,2006,99,40000000,52330111,114830111,15.338,2.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1341932398,114830111,1,259
859,2005,98,30000000,43894863,58231520,14.913,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1341932398,58231520,1,259
860,2007,114,30000000,31664162,66122026,15.626,1.9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1341932398,66122026,1,259
861,2007,99,80000000,15074191,40170558,15.626,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1341932398,40170558,1,259
862,2005,132,54000000,70511035,132511035,14.913,3.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,132511035,4,259
863,2009,99,40000000,38122883,61601280,15.209,-2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,132511035,4,259
864,2007,160,30000000,3909149,15001776,15.626,1.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,37930465,2,259
865,2007,99,40000000,25126214,62771059,15.626,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1341932398,136159423,7,259
866,2019,132,100000000,140371656,364571656,19.073,2.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,364571656,3,259
