,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
16,1992,114,50000000,55473545,159814498,9.685,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2789968301,369330363,10,187
17,2014,149,61000000,167767189,369330363,16.912,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2789968301,369330363,10,187
18,1992,86,7000000,16624456,16624456,9.685,3.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,16624456,1,187
19,1992,140,35000000,24276506,29302121,9.685,3.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,33459416,4,187
20,1992,120,18000000,173585516,365070556,9.685,3.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,978087613,11,187
21,1993,125,25000000,219195243,441286195,9.952,2.8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,978087613,11,187
22,1992,120,11000000,52929168,64088552,9.685,3.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,106371651,5,187
23,1992,95,10000000,14356479,14356479,9.685,3.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,70992898,5,187
24,1993,95,12000000,5086909,5086909,9.952,2.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2789968301,34872033,3,187
25,1993,125,35000000,63179523,107198790,9.952,2.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,107198790,3,187
26,1993,103,10000000,53615089,56500758,9.952,2.8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,56500758,1,187
27,1994,99,48000000,16827402,16827402,10.352,4.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,16827402,2,187
28,1994,99,25000000,15240435,15240435,10.352,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,15240435,3,187
29,1994,79,8000000,4330020,4330020,10.352,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,4330020,1,187
30,1994,80,27000000,13670688,13670688,10.352,4.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,13670688,1,187
31,1994,141,115000000,146282411,378882411,10.352,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,2789968301,4,187
32,1997,194,200000000,659363944,2187463944,11.522,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,2789968301,4,187
33,2009,162,237000000,760507625,2789968301,15.209,-2.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,2789968301,4,187
34,1995,101,40000000,14942422,14942422,10.63,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,56714147,5,187
35,1995,95,15000000,38187431,66433194,10.63,2.7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,66433194,3,187
36,1995,124,16000000,67052156,81452156,10.63,2.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,81471882,3,187
