,imdb_title_id,title,year,genre,duration,country,language,director,production_company,budget,usa_gross_income,worlwide_gross_income,Real GDP (trillions $),GDP Growth Rate %
91,tt0100827,Due occhi diabolici,1990,Horror,120,"Italy, USA",English,"Dario Argento, George A. Romero",ADC Films,9000000,349618,349618,9.366,1.9
92,tt0100828,The Two Jakes,1990,"Crime, Drama, Mystery",137,USA,English,Jack Nicholson,88 Productions,19000000,10005969,10005969,9.366,1.9
93,tt0100924,Where the Heart Is,1990,"Comedy, Drama",107,USA,English,John Boorman,Touchstone Pictures,15000000,1106475,1106475,9.366,1.9
94,tt0100928,White Hunter Black Heart,1990,"Adventure, Drama",112,USA,English,Clint Eastwood,Malpaso Productions,24000000,2319124,2319124,9.366,1.9
95,tt0100935,Wild at Heart,1990,"Comedy, Crime, Drama",125,USA,"English, Spanish",David Lynch,PolyGram Filmed Entertainment,9500000,14560247,14560247,9.366,1.9
96,tt0100994,Young Guns II,1990,"Action, Western",104,USA,English,Geoff Murphy,Morgan Creek Entertainment,20000000,44143410,44143410,9.366,1.9
97,tt0100998,Yume,1990,"Drama, Fantasy",119,"Japan, USA","Japanese, French, English","Akira Kurosawa, IshirĂ„â€šĂ‚Â´ Honda",Warner Bros.,12000000,1963207,1963207,9.366,1.9
98,tt0101272,The Addams Family,1991,"Comedy, Fantasy",99,USA,"English, Italian, French",Barry Sonnenfeld,Orion Pictures,30000000,113502426,191502426,9.355,-0.1
99,tt0101356,Another You,1991,"Comedy, Crime",98,USA,English,Maurice Phillips,TriStar Pictures,17000000,2865916,2865916,9.355,-0.1
100,tt0101371,Article 99,1992,"Drama, Comedy",100,USA,English,Howard Deutch,Orion Pictures,18000000,6375979,6375979,9.685,3.5
101,tt0101373,At Play in the Fields of the Lord,1991,"Drama, Romance",189,"USA, Brazil",English,Hector Babenco,The Saul Zaentz Company,36000000,1345903,1345903,9.355,-0.1
102,tt0101393,Backdraft,1991,"Crime, Drama, Mystery",137,USA,English,Ron Howard,Imagine Films Entertainment,40000000,77868585,152368585,9.355,-0.1
103,tt0101410,Barton Fink,1991,"Comedy, Drama, Thriller",116,"USA, UK",English,"Joel Coen, Ethan Coen",Circle Films,9000000,6153939,6153939,9.355,-0.1
104,tt0101412,Beastmaster 2: Through the Portal of Time,1991,"Action, Adventure, Fantasy",107,"USA, France",English,Sylvio Tabet,Les Films 21,6000000,869325,869325,9.355,-0.1
105,tt0101414,Beauty and the Beast,1991,"Animation, Family, Fantasy",84,USA,"English, French","Gary Trousdale, Kirk Wise",Walt Disney Pictures,25000000,218967620,440118382,9.355,-0.1
106,tt0101452,Bill & Ted's Bogus Journey,1991,"Adventure, Comedy, Fantasy",93,USA,"English, Italian, Russian",Peter Hewitt,Nelson Entertainment,20000000,38037513,38037513,9.355,-0.1
107,tt0101453,Billy Bathgate,1991,"Crime, Drama, Thriller",106,USA,English,Robert Benton,Touchstone Pictures,48000000,15565363,15565363,9.355,-0.1
108,tt0101455,Bingo,1991,"Adventure, Comedy, Family",89,USA,"English, French",Matthew Robbins,TriStar Pictures,10000000,8667684,8667684,9.355,-0.1
109,tt0101492,Body Parts,1991,"Horror, Thriller",88,USA,English,Eric Red,Paramount Pictures,10000000,9188150,9188150,9.355,-0.1
110,tt0101507,Boyz n the Hood,1991,"Crime, Drama",112,USA,English,John Singleton,Columbia Pictures,6500000,57504069,57529070,9.355,-0.1
111,tt0101516,Bugsy,1991,"Biography, Crime, Drama",136,USA,English,Barry Levinson,TriStar Pictures,30000000,49114016,49114016,9.355,-0.1
112,tt0101531,Cadence,1990,Drama,97,"USA, Canada",English,Martin Sheen,The Movie Group,4000000,2070871,2070871,9.366,1.9
113,tt0101540,Cape Fear,1991,"Crime, Thriller",128,USA,English,Martin Scorsese,Amblin Entertainment,35000000,79091969,182291969,9.355,-0.1
114,tt0101587,City Slickers,1991,Comedy,113,USA,English,Ron Underwood,Castle Rock Entertainment,27000000,124033791,179033791,9.355,-0.1
115,tt0101588,City of Hope,1991,"Crime, Drama",129,USA,English,John Sayles,Esperanza Films Inc.,3000000,1345015,1345015,9.355,-0.1
116,tt0101597,Closet Land,1991,"Drama, Thriller",89,USA,English,Radha Bharadwaj,Imagine Entertainment,4000000,259012,259012,9.355,-0.1
117,tt0101605,The Commitments,1991,"Comedy, Drama, Music",118,"Ireland, UK, USA","English, Irish",Alan Parker,Beacon Communications,12000000,14919570,14919570,9.355,-0.1
118,tt0101606,Company Business,1991,"Action, Comedy, Crime",98,USA,"English, Russian, French",Nicholas Meyer,PathĂ„â€šĂ‚Â© Entertainment,18000000,1501785,1501785,9.355,-0.1
119,tt0101615,Cool as Ice,1991,"Comedy, Drama, Music",91,USA,English,David Kellogg,Alive Films,6000000,1193062,1193062,9.355,-0.1
120,tt0101635,Curly Sue,1991,"Comedy, Drama, Family",101,USA,English,John Hughes,Warner Bros.,25000000,33691313,33691313,9.355,-0.1
121,tt0101669,Dead Again,1991,"Crime, Drama, Mystery",107,USA,English,Kenneth Branagh,Paramount Pictures,15000000,38016380,38016380,9.355,-0.1
122,tt0101701,Delirious,1991,"Comedy, Fantasy",96,USA,English,Tom Mankiewicz,Metro-Goldwyn-Mayer (MGM),18000000,5546827,5546827,9.355,-0.1
123,tt0101761,The Doors,1991,"Biography, Drama, Music",140,USA,English,Oliver Stone,Bill Graham Films,38000000,34416893,34416893,9.355,-0.1
124,tt0101764,Double Impact,1991,"Action, Crime",110,USA,English,Sheldon Lettich,Stone Group Pictures,15000000,30102717,30102717,9.355,-0.1
