imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt0277027,I Am Sam,2001,2002-05-10,Drama,132,USA,English,Jessie Nelson,"Kristine Johnson, Jessie Nelson",New Line Cinema,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine, Richard Schiff, Laura Dern, Brad Silverman, Joseph Rosenberg, Stanley DeSantis, Doug Hutchison, Rosalind Chao, Ken Jenkins, Wendy Phillips, Mason Lucero",A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,7.6,137547,22000000,40311852,97818139,455.0,122.0
tt0277296,The Scorpion King,2002,2002-04-19,"Action, Adventure, Fantasy",92,"USA, Germany, Belgium",English,Chuck Russell,"Stephen Sommers, Jonathan Hales",Universal Pictures,"Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu, Bernard Hill, Grant Heslov, Peter Facinelli, Ralf Moeller, Branscombe Richmond, Roger Rees, Sherri Howard, Conrad Roberts, Joseph Ruskin, Esteban Cueto, Nils Allen Stewart","A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",5.5,124930,60000000,91047077,167164779,435.0,175.0
tt0277371,Not Another Teen Movie,2001,2002-05-24,Comedy,89,USA,English,Joel Gallen,"Mike Bender, Adam Jay Epstein",Columbia Pictures,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Cody McMains, Sam Huntington, JoAnna Garcia Swisher, Lacey Chabert, Samm Levine, Cerina Vincent, Beverly Polcyn",A sendup of all the teen movies that have accumulated in the past two decades.,5.7,92297,15000000,38252284,66468332,398.0,94.0
tt0277434,We Were Soldiers,2002,2002-03-08,"Action, Drama, History",138,"USA, Germany","English, Vietnamese, French",Randall Wallace,"Harold G. Moore, Joseph L. Galloway",Icon Entertainment International,"Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott, Chris Klein, Keri Russell, Barry Pepper, Duong Don, Ryan Hurst, Robert Bagnell, Marc Blucas, Josh Daugherty, Jsu Garcia, Jon Hamm, Clark Gregg","The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",7.1,123338,75000000,78122718,115374915,757.0,150.0
tt0277895,Mickey,2004,2004-04-30,"Drama, Sport",105,USA,English,Hugh Wilson,John Grisham,,"Harry Connick Jr., Shawn Salinas, Michelle Johnson, Mike Starr, Mark Joy, Alexander Roos, Danny Bell, Jason Kypros, Gill Baker, Stan Kelly, Don Yesso, Richard Fullerton, Peter Gil, Tom Trigo, Jon-Michael Moralez","A widowed lawyer wanted by the IRS assumes a new identity and signs his now-too-old son up for one more year of Little League. However, this may have been a mistake, as his son's dominance ...",6.6,403,6000000,294758,294758,16.0,4.0
tt0278295,All About the Benjamins,2002,2002-03-08,"Action, Comedy, Crime",95,"USA, Germany","English, French",Kevin Bray,"Ronald Lang, Ice Cube",New Line Cinema,"Ice Cube, Mike Epps, Tommy Flanagan, Carmen Chaplin, Eva Mendes, Valarie Rae Miller, Anthony Giaimo, Jeff Chase, Roger Guenveur Smith, Gino Salvano, Tony Ward, Dominic Chianese Jr., Anthony Michael Hall, Antoni Corone, Bob Carter","Bounty hunter Bucum chases bail-jumper Reggie, who runs right into the scene of a diamond heist and murder and gets shot at as well. Later they become partners in their pursuit of the $20M in diamonds and lottery ticket. Their women join.",5.9,12144,15000000,25916319,26306533,35.0,41.0
tt0278435,Enough,2002,2002-11-29,"Crime, Drama, Thriller",115,USA,English,Michael Apted,Nicholas Kazan,Columbia Pictures,"Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis, Dan Futterman, Noah Wyle, Fred Ward, Christopher Maher, Janet Carroll, Bill Cobbs, Bruce A. Young, Bruce French, Ruben Madera, Dan Martin, Jeff Kober","After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",5.7,37058,38000000,40007742,51801187,242.0,90.0
tt0278488,How High,2001,2001-12-21,"Comedy, Fantasy",93,USA,English,Jesse Dylan,Dustin Lee Abraham,Jersey Films,"Method Man, Redman, Obba BabatundĂ©, Mike Epps, Anna Maria Horsford, Fred Willard, Jeffrey Jones, Hector Elizondo, Lark Voorhies, Al Shearer, Chuck Deezy, Essence Atkins, Chris Elwood, T.J. Thyne, Justin Urich","Two guys by the name of Silas and Jamal decided to one day smoke something magical, which eventually helps them to ace their college entrance exam.",6.3,50796,20000000,31178740,31283740,110.0,36.0
tt0278500,The Importance of Being Earnest,2002,2002-09-06,"Comedy, Drama, Romance",97,"UK, USA","English, German",Oliver Parker,"Oscar Wilde, Oliver Parker",Miramax,"Rupert Everett, Colin Firth, Frances O'Connor, Reese Witherspoon, Judi Dench, Tom Wilkinson, Anna Massey, Edward Fox, Patrick Godfrey, Charles Kay, Cyril Shaps, Marsha Fitzalan, Finty Williams, Guy Bensley, Christina Robert","In 1890s London, two friends use the same pseudonym (""Ernest"") for their on-the-sly activities. Hilarity ensues.",6.8,21252,15000000,8384929,18009625,147.0,106.0
tt0278504,Insomnia,2002,2002-08-30,"Drama, Mystery, Thriller",118,"USA, UK",English,Christopher Nolan,"Hillary Seitz, Nikolaj Frobenius",Alcon Entertainment,"Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank, Paul Dooley, Nicky Katt, Larry Holden, Jay Brazeau, Lorne Cardinal, James Hutson, Andrew Campbell, Paula Shaw, Yan-Kay Crystal Lowe, Tasha Simms, Maura Tierney",Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,7.2,258114,46000000,67355513,113758770,678.0,183.0
