,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income
43,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0112715,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Kennedy/Marshall Company, The', 'id': 7383}]",Congo,1995,10.63,2.7,109,USA,Frank Marshall,50000000,81022101,152022101
44,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt0112740,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",Crimson Tide,1995,10.63,2.7,116,USA,Tony Scott,53000000,91387195,157387195
45,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",tt0112851,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]",Desperado,1995,10.63,2.7,104,"USA, Mexico",Robert Rodriguez,7000000,25405445,25405445
46,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",tt0112857,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mundy Lane Entertainment', 'id': 2510}]",Devil in a Blue Dress,1995,10.63,2.7,102,USA,Carl Franklin,27000000,16140822,16140822
47,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0112864,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",Die Hard: With a Vengeance,1995,10.63,2.7,128,USA,John McTiernan,90000000,100012499,366236538
48,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0113071,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'First Knight Productions', 'id': 10158}]",First Knight,1995,10.63,2.7,134,"USA, UK",Jerry Zucker,55000000,37600435,127600435
49,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt0113243,"[{'name': 'United Artists', 'id': 60}, {'name': 'Suftley', 'id': 87394}]",Hackers,1995,10.63,2.7,107,USA,Iain Softley,20000000,7563728,7563728
50,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0113481,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Alliance Communications Corporation', 'id': 2480}]",Johnny Mnemonic,1995,10.63,2.7,96,"Canada, USA",Robert Longo,26000000,19075720,19075720
51,"[{'id': 878, 'name': 'Science Fiction'}]",tt0113492,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",Judge Dredd,1995,10.63,2.7,96,USA,Danny Cannon,90000000,34693481,113493481
52,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0113540,"[{'name': 'Miramax Films', 'id': 14}]",Kids,1995,10.63,2.7,91,USA,Larry Clark,1500000,7412216,7412216
53,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt0113677,"[{'name': 'JDI productions', 'id': 13187}, {'name': 'Lemon Sky Productions', 'id': 13190}]",Living in Oblivion,1995,10.63,2.7,90,USA,Tom DiCillo,500000,1111790,1111790
54,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",tt0113749,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Alphaville Films', 'id': 11462}, {'name': 'View Askew Productions', 'id': 16934}]",Mallrats,1995,10.63,2.7,94,USA,Kevin Smith,6000000,2122561,2122561
55,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",tt0113820,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Saban Entertainment', 'id': 2106}, {'name': 'Toei Company', 'id': 9255}]",Mighty Morphin Power Rangers: The Movie,1995,10.63,2.7,95,"USA, Japan, Australia, New Zealand",Bryan Spicer,15000000,38187431,66433194
56,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",tt0113957,"[{'name': 'Columbia Pictures', 'id': 5}]",The Net,1995,10.63,2.7,114,USA,Irwin Winkler,22000000,50727965,110627965
57,"[{'id': 35, 'name': 'Comedy'}]",tt0114095,"[{'name': 'Party Productions', 'id': 37890}]",Party Girl,1995,10.63,2.7,94,USA,Daisy von Scherler Mayer,150000,472370,472370
58,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0114194,"[{'name': 'Dimension Films', 'id': 7405}]",The Prophecy,1995,10.63,2.7,98,USA,Gregory Widen,8000000,16115878,16115878
59,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",tt0114345,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",The Scarlet Letter,1995,10.63,2.7,135,USA,Roland JoffĂ„â€šĂ‚Â©,46000000,10382407,10382407
60,"[{'id': 18, 'name': 'Drama'}]",tt0114436,"[{'name': 'United Artists', 'id': 60}, {'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Carolco Pictures', 'id': 14723}]",Showgirls,1995,10.63,2.7,128,"France, USA",Paul Verhoeven,45000000,20350754,20350754
61,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0114478,"[{'name': 'Miramax Films', 'id': 14}]",Smoke,1995,10.63,2.7,112,"Germany, Japan, USA",Wayne Wang,7000000,8367636,8367636
62,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",tt0114508,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",Species,1995,10.63,2.7,108,USA,Roger Donaldson,35000000,60074103,113374103
63,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0114558,"[{'name': 'Lightstorm Entertainment', 'id': 574}]",Strange Days,1995,10.63,2.7,145,USA,Kathryn Bigelow,42000000,7959291,7959291
64,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0114781,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Seagal/Nasso Productions', 'id': 17825}, {'name': 'Victor Company of Japan (JVC)', 'id': 21480}, {'name': 'Cutting Edge Films', 'id': 63906}]",Under Siege 2: Dark Territory,1995,10.63,2.7,100,USA,Geoff Murphy,60000000,50024083,104324083
65,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114887,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Zucker Brothers Productions', 'id': 2851}]",A Walk in the Clouds,1995,10.63,2.7,102,"USA, Mexico",Alfonso Arau,20000000,50008143,50008143
66,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",tt0114898,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Licht/Mueller Film Corporation', 'id': 6092}]",Waterworld,1995,10.63,2.7,135,USA,Kevin Reynolds,175000000,88246220,264218220
67,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112471,"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",Before Sunrise,1995,10.63,2.7,101,"USA, Austria, Switzerland",Richard Linklater,2500000,5535405,5986708
68,"[{'id': 35, 'name': 'Comedy'}]",tt0112508,"[{'name': 'Jack Giarraputo Productions', 'id': 6365}]",Billy Madison,1995,10.63,2.7,89,USA,Tamra Davis,10000000,25588734,26488734
69,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt0112571,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Alcor Films', 'id': 644}, {'name': 'Canal+', 'id': 5358}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Hera Productions', 'id': 16192}]",Boys on the Side,1995,10.63,2.7,115,"USA, France",Herbert Ross,21000000,23440188,23440188
70,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0113303,"[{'name': 'TriStar Pictures', 'id': 559}]",Hideaway,1995,10.63,2.7,106,USA,Brett Leonard,15000000,12201255,12201255
71,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0110066,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]",Houseguest,1995,10.63,2.7,113,USA,Randall Miller,10500000,26325256,26325256
72,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0113463,"[{'name': 'Merchant Ivory Productions', 'id': 2370}, {'name': 'Touchstone Pictures', 'id': 9195}]",Jefferson in Paris,1995,10.63,2.7,139,"USA, France",James Ivory,14000000,2473668,2473668
73,"[{'id': 18, 'name': 'Drama'}]",tt0113691,"[{'name': 'Paramount Pictures', 'id': 4}]",Losing Isaiah,1995,10.63,2.7,111,USA,Stephen Gyllenhaal,17000000,7603766,7603766
74,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0114069,"[{'name': 'Kopelson Entertainment', 'id': 824}, {'name': 'Punch Productions', 'id': 2154}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Arnold Kopelson Productions', 'id': 16775}]",Outbreak,1995,10.63,2.7,127,USA,Wolfgang Petersen,50000000,67659560,189859560
75,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114113,"[{'name': 'Samuel Goldwyn Company, The', 'id': 28205}]",The Perez Family,1995,10.63,2.7,113,USA,Mira Nair,11000000,2832826,2832826
76,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",tt0114214,"[{'name': 'TriStar Pictures', 'id': 559}]",The Quick and the Dead,1995,10.63,2.7,107,"Japan, USA",Sam Raimi,32000000,18636537,18636537
77,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",tt0114614,"[{'name': 'Trilogy Entertainment Group', 'id': 2231}]",Tank Girl,1995,10.63,2.7,104,"USA, UK",Rachel Talalay,25000000,4064495,4064495
78,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0114609,"[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Savoy Pictures', 'id': 11308}]",Tales from the Hood,1995,10.63,2.7,98,USA,Rusty Cundieff,6000000,11837928,11837928
79,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt0114857,"[{'name': 'Paramount Pictures', 'id': 4}]",Virtuosity,1995,10.63,2.7,106,USA,Brett Leonard,30000000,24047675,24047675
80,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114924,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]",While You Were Sleeping,1995,10.63,2.7,103,USA,Jon Turteltaub,17000000,81057016,182057016
81,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt0113253,"[{'name': 'Miramax Films', 'id': 14}]",Halloween: The Curse of Michael Myers,1995,10.63,2.7,87,USA,Joe Chappelle,5000000,15116634,15116634
82,"[{'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",tt0113965,"[{'name': 'TriStar Pictures', 'id': 559}]",Never Talk to Strangers,1995,10.63,2.7,86,"USA, Canada, Germany",Peter Hall,6400000,6858261,6858261
83,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0114371,"[{'name': 'October Films', 'id': 236}, {'name': 'Nu Image Films', 'id': 925}, {'name': 'Autumn Pictures', 'id': 65327}]",Search and Destroy,1995,10.63,2.7,90,USA,David Salle,4000000,389503,389503
84,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 53, 'name': 'Thriller'}]",tt0114697,[],Top Dog,1995,10.63,2.7,86,USA,Aaron Norris,6000000,5093707,5093707
85,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",tt0114108,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Don Bluth Productions', 'id': 90512}]",The Pebble and the Penguin,1995,10.63,2.7,74,"Ireland, USA","Don Bluth, Gary Goldman",28000000,3983912,3983912
86,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",tt0116367,"[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]",From Dusk Till Dawn,1996,11.031,3.8,108,"USA, Mexico",Robert Rodriguez,19000000,25836616,25836616
