imdb_title_id,title,year,genre,duration,country,language,director,writer,production_company,actors,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt1655441,The Age of Adaline,2015,"Drama, Fantasy, Romance",112,"USA, Canada","English, Portuguese, Italian",Lee Toland Krieger,"J. Mills Goodloe, Salvador Paskowitz",Lakeshore Entertainment,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker, Amanda Crew, Lynda Boyd, Hugh Ross, Richard Harmon, Fulvio Cecere, Anjali Jay, Hiro Kanagawa, Peter J. Gray, Izabel Pearce, Cate Richardson",25000000,42629776,65663276,304.0,232.0
tt1655442,The Artist,2011,"Comedy, Drama, Romance",100,"France, Belgium, USA","English, French",Michel Hazanavicius,Michel Hazanavicius,Studio 37,"Jean Dujardin, BÄ‚Â©rÄ‚Â©nice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Missi Pyle, Beth Grant, Ed Lauter, Joel Murray, Elizabeth Tulloch, Ken Davitian, Malcolm McDowell, Basil Hoffman, Bill Fagerbakke, Nina Siemaszko",15000000,44671682,133432856,636.0,584.0
tt1655461,Wild Oats,2016,"Action, Adventure, Comedy",86,"Germany, USA","English, Spanish, German",Andy Tennant,"Claudia Myers, Gary Kanew",Wild Pictures,"Shirley MacLaine, Jessica Lange, Demi Moore, Ptolemy Slocum, Colin Walker, Robert Collier, Geraldine Singer, Susan Parker, Vincent De Paul, Rachel Deacon, Lynne Ashe, Ben Temple, Marnee Carpenter, Morgan Deare, Chad Gall",10000000,40598,247949,34.0,20.0
tt1656186,Stolen,2012,"Action, Crime, Thriller",96,USA,"English, Swedish",Simon West,David Guggenheim,Millennium Films,"Nicolas Cage, Josh Lucas, Danny Huston, Malin Akerman, Sami Gayle, Edrick Browne, Mark Valley, Barry Shabaka Henley, M.C. Gainey, J.D. Evermore, Garrett Hines, Kevin Foster, Tanc Sade, Dan Braverman, Jon Eyez",35000000,304318,2106557,94.0,104.0
tt1656190,Safe,2012,"Action, Crime, Thriller",94,USA,"English, Mandarin, Russian",Boaz Yakin,Boaz Yakin,IM Global,"Jason Statham, Catherine Chan, Robert John Burke, James Hong, Anson Mount, Chris Sarandon, SÄ‚Ë‡ndor TÄ‚Â©csy, Joseph Sikora, Igor Jijikine, Reggie Lee, James Colby, Matt O'Toole, Jack Gwaltney, Barry Bradford, Jay Giannone",30000000,17142080,40346186,146.0,262.0
tt1657510,Gimme Shelter,2013,Drama,101,USA,English,Ron Krauss,Ron Krauss,Day Twenty- Eight Films,"Brendan Fraser, Rosario Dawson, James Earl Jones, Vanessa Hudgens, Emily Meade, Stephanie Szostak, Dascha Polanco, Ann Dowd, Tashiana Washington, Candace Smith, Eddie Schweighardt, Peter Epstein, Rufus Dorsey, Sheila Tapia, Andrea Cirie",2000000,1359910,1362018,56.0,68.0
tt1658801,Freeheld,2015,"Biography, Drama, Romance",103,USA,English,Peter Sollett,Ron Nyswaner,Double Feature Films,"Julianne Moore, Ellen Page, Michael Shannon, Steve Carell, Luke Grimes, Gabriel Luna, Anthony DeSando, Skipp Sudduth, Josh Charles, Kevin O'Rourke, Tom McGowan, William Sadler, Dennis Boutsikaris, Adam LeFevre, Jeannine Kaspar",7000000,573335,1474471,31.0,145.0
tt1659337,The Perks of Being a Wallflower,2012,Drama,103,USA,English,Stephen Chbosky,"Stephen Chbosky, Stephen Chbosky",Summit Entertainment,"Logan Lerman, Dylan McDermott, Kate Walsh, Patrick de Ledebur, Johnny Simmons, Brian Balzerini, Tom Kruszewski, Nina Dobrev, Nicholas Braun, Julia Garner, Ezra Miller, Tom Savini, Emily Marie Callaway, Paul Rudd, Chelsea Zhang",13000000,17742948,33384127,552.0,378.0
tt1659343,Universal Soldier: Day of Reckoning,2012,"Action, Horror, Mystery",114,USA,English,John Hyams,"John Hyams, Doug Magnuson",Foresight Unlimited,"Jean-Claude Van Damme, Dolph Lundgren, Scott Adkins, Mariah Bonner, Andrei Arlovski, Tony Jarreau, Craig Walker, Andrew Sikking, James DuMont, David Jensen, Audrey P. Scott, Rus Blackwell, Dane Rhodes, Susan Mansur, Kris Van Damme",11500000,5460,369179,100.0,126.0
tt1661199,Cinderella,2015,"Drama, Family, Fantasy",105,"USA, UK",English,Kenneth Branagh,"Chris Weitz, Charles Perrault",Allison Shearmur Productions,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter, Nonso Anozie, Stellan SkarsgÄ‚Ä„rd, Sophie McShera, Holliday Grainger, Derek Jacobi, Ben Chaplin, Hayley Atwell, Rob Brydon, Jana PÄ‚Â©rez, Alex Macqueen, Tom Edden",95000000,201151353,542351353,409.0,373.0
