,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies
1133,2002,104,60000000,5350371,7093284,13.493,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1670400637,272753884,6
1134,1993,125,26000000,77446440,206678440,9.952,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,314178011,272753884,6
1135,1991,118,19000000,130742922,272753884,9.355,-0.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,272753884,272753884,6
1136,2015,101,18000000,26822144,41325328,17.404,2.9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41325328,272753884,6
1137,1998,172,80000000,22852487,22852487,12.038,4.5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,30271556,272753884,6
1138,2004,120,65000000,101005703,217663246,14.406,3.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,217663246,8
1139,2001,157,107000000,58203105,87812729,13.262,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1131845802,217663246,8
1140,2006,132,135000000,63450470,163794509,15.338,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1670400637,217663246,8
1141,2009,140,100000000,97104620,214104620,15.209,-2.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1670400637,217663246,8
1142,1995,170,60000000,67436818,187436818,10.63,2.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,217663246,8
1143,1999,157,90000000,29089912,60289912,12.611,4.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,553709788,217663246,8
1144,1992,112,40000000,75505856,75505856,9.685,3.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,212385533,217663246,8
1145,2015,133,70000000,8005980,19652057,17.404,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,213719942,217663246,8
1146,2008,126,140000000,318604126,585366247,15.605,-0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,1655156910,9
1147,2010,124,200000000,312433331,623933331,15.599,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,1655156910,9
1148,2005,101,65000000,29258869,64321501,14.913,3.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,1655156910,9
1149,2011,119,163000000,100240551,174822325,15.841,1.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1670400637,1655156910,9
1150,2003,97,33000000,173840591,220885524,13.879,2.9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1120424614,1655156910,9
1151,2001,95,5000000,5313300,5480653,13.262,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58401898,1655156910,9
1152,2014,114,11000000,31424003,45967935,16.912,2.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45967935,1655156910,9
1153,2016,106,175000000,364001123,966550600,17.689,1.6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1655156910,1655156910,9
1154,2019,118,260000000,543496835,1655156910,19.073,2.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1655156910,1655156910,9
1155,2004,98,32000000,32786074,50826898,14.406,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,83137603,3
1156,1999,81,21000000,52037603,83137603,12.611,4.8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,218791811,83137603,3
1157,1997,94,1000000,602302,602302,11.522,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,602302,83137603,3
1158,2004,103,60000000,13399812,35060882,14.406,3.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1123794079,76594107,4
1159,1994,123,45000000,30806194,30806194,10.352,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30806194,76594107,4
1160,1995,106,30000000,76594107,76594107,10.63,2.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,76594107,76594107,4
1161,2001,118,30000000,471210,1198113,13.262,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,309208309,76594107,4
1162,2005,102,22000000,12482775,19039770,14.913,3.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,1066179725,10
1163,2011,107,135000000,123477607,245724603,15.841,1.6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,1066179725,10
1164,2003,143,140000000,305413918,654264015,13.879,2.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1066179725,10
1165,2006,151,225000000,423315812,1066179725,15.338,2.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1066179725,10
1166,2007,169,300000000,309420425,960996492,15.626,1.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1066179725,10
1167,2013,150,215000000,89302115,260502115,16.495,1.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,1066179725,10
1168,2016,146,40000000,8106986,26620002,17.689,1.6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,532950503,1066179725,10
1169,1997,98,38000000,61917389,122417389,11.522,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923075336,1066179725,10
1170,2001,123,57000000,66845033,147845033,13.262,1.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923075336,1066179725,10
1171,2002,115,48000000,129128133,249348933,13.493,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,923075336,1066179725,10
1172,2005,93,62000000,25874337,52304001,14.913,3.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,52304001,4
1173,2000,110,1000000,1565852,1666028,13.130999999999998,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2160710,52304001,4
1174,2009,102,16000000,16204793,31556061,15.209,-2.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37466538,52304001,4
1175,2018,121,9000000,1533324,5580940,18.638,2.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5580940,52304001,4
1176,2006,97,85000000,82985708,144877632,15.338,2.9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1123794079,144877632,5
1177,2002,78,150000,2891288,3200241,13.493,1.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,306776732,144877632,5
1178,2009,89,30000000,58715510,115154152,15.209,-2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,609016565,144877632,5
1179,2004,98,37000000,57231747,96455697,14.406,3.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,277448382,144877632,5
1180,2010,105,30000000,53032453,79181750,15.599,2.6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,829746820,144877632,5
1181,2010,114,69000000,73026337,86855739,15.599,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,514837517,9
1182,2000,108,55000000,166244045,330444045,13.130999999999998,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1670400637,514837517,9
1183,2004,115,80000000,279261160,514837517,14.406,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1670400637,514837517,9
1184,2012,85,95000000,86907746,104907746,16.197,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,514837517,9
1185,1999,95,33000000,206040086,312016858,12.611,4.8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120424614,514837517,9
1186,2002,94,63000000,213307889,296655431,13.493,1.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120424614,514837517,9
1187,1997,94,16500000,53883989,67683989,11.522,4.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67683989,514837517,9
1188,1999,119,28000000,8891623,8891623,12.611,4.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8891623,514837517,9
1189,2015,124,15000000,7857741,8235661,17.404,2.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8235661,514837517,9
1190,2006,143,25000000,34302837,135330182,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,532950503,4
1191,2015,156,135000000,183637894,532950503,17.404,2.9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532950503,532950503,4
1192,2014,119,18000000,42340598,103215094,16.912,2.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127037114,532950503,4
1193,2003,124,20000000,16290476,60427839,13.879,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60427839,532950503,4
1194,2006,92,35000000,80197993,99255460,15.338,2.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1123794079,99255460,4
1195,2004,96,400000,44540956,46138887,14.406,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329398046,99255460,4
1196,2016,95,25000000,17368022,29674699,17.689,1.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64163648,99255460,4
1197,2009,89,10000000,113682,118492,15.209,-2.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,118492,99255460,4
1198,2011,124,140000000,176654505,370569774,15.841,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,370569774,7
1199,1999,108,25000000,32570685,34698685,12.611,4.8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1670400637,370569774,7
1200,2001,92,93000000,181171875,368780809,13.262,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1670400637,370569774,7
1201,2010,103,150000000,61979680,139789765,15.599,2.6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1670400637,370569774,7
1202,2004,136,100000000,67303450,108040622,14.406,3.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553709788,370569774,7
1203,1995,104,65000000,100499940,262821940,10.63,2.7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,314178011,370569774,7
1204,1991,108,35000000,46704056,46704056,9.355,-0.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,370569774,7
1205,2007,123,21000000,36605602,43090741,15.626,1.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,156835339,5
1206,1998,100,20000000,12905901,15610299,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,33351557,156835339,5
1207,2007,126,30000000,53695808,156835339,15.626,1.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,309208309,156835339,5
1208,2013,124,60000000,19452138,60052138,16.495,1.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,309208309,156835339,5
1209,2014,94,2000000,145427,292092,16.912,2.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,292092,156835339,5
1210,2008,112,25000000,10915744,11207130,15.605,-0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1123794079,84790678,3
1211,2013,100,30000000,35266619,84790678,16.495,1.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1017003568,84790678,3
1212,1999,118,2000000,11540607,11540607,12.611,4.8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,329398046,84790678,3
1213,2009,107,55000000,16123323,22985194,15.209,-2.5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,22985194,1
1214,2012,130,60000000,80070736,218340595,16.197,2.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,791115104,4
1215,2015,131,150000000,195042377,682714267,17.404,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,791115104,4
1216,2018,147,178000000,220159104,791115104,18.638,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,791115104,4
1217,2000,119,8500000,6055661,13200972,13.130999999999998,4.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58401898,791115104,4
1218,2008,87,62000000,32235793,40854735,15.605,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1123794079,40854735,1
1219,2014,169,165000000,188020017,677471339,16.912,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,1081041287,9
1220,2005,140,150000000,206852432,373413297,14.913,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1081041287,9
1221,2008,152,185000000,535234033,1004934033,15.605,-0.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1081041287,9
1222,2012,164,250000000,448139099,1081041287,16.197,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,1081041287,9
1223,2010,148,160000000,292576195,829895144,15.599,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,1081041287,9
1224,2006,130,40000000,53089891,109676311,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,553709788,1081041287,9
1225,2002,118,46000000,67355513,113758770,13.493,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,309208309,1081041287,9
1226,2000,113,9000000,25544867,39723096,13.130999999999998,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39723096,1081041287,9
1227,2017,106,100000000,189740665,526940665,18.108,2.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,526940665,1081041287,9
1228,2013,116,190000000,202359711,540007876,16.495,1.8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1123794079,586090727,11
1229,2006,113,30000000,40660952,53653224,15.338,2.9,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1131845802,586090727,11
1230,2008,106,200000000,168368427,586090727,15.605,-0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1017003568,586090727,11
1231,2004,106,25000000,51680613,116650613,14.406,3.8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,306776732,586090727,11
1232,2005,99,50000000,3626883,8342132,14.913,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,532950503,586090727,11
1233,2007,128,20000000,15800078,74634825,15.626,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,923075336,586090727,11
1234,2000,87,100000,2963,8741,13.130999999999998,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8741,586090727,11
1235,2001,111,4000000,31273922,45011434,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,45011434,586090727,11
1236,2011,129,30000000,538690,3338690,15.841,1.6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226904017,586090727,11
1237,2016,109,30000000,217644,678150,17.689,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,197744377,586090727,11
1238,2018,104,75000000,99215042,197744377,18.638,2.9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,197744377,586090727,11
1239,2007,124,61000000,47003582,95696996,15.626,1.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,203567857,12
1240,1998,87,30000000,19204929,19204929,12.038,4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,203567857,12
1241,2014,132,55000000,101530738,192330738,16.912,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,203567857,12
1242,2018,121,62000000,102084362,190400157,18.638,2.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,203567857,12
1243,2001,122,45000000,76631907,104876233,13.262,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,203567857,12
1244,2004,126,120000000,51882244,203567857,14.406,3.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553709788,203567857,12
1245,2000,119,51000000,15325127,15471969,13.130999999999998,4.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313500433,203567857,12
1246,2016,132,90000000,93432655,162360636,17.689,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1017003568,203567857,12
1247,2003,121,75000000,43734876,86468162,13.879,2.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,86468162,203567857,12
1248,2009,132,17000000,27163593,45719985,15.209,-2.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,274470394,203567857,12
1249,2013,119,70000000,98925640,170270201,16.495,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,274470394,203567857,12
1250,2015,124,30000000,52421953,91970827,17.404,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,122752517,203567857,12
1251,2019,101,21000000,54724696,112399944,19.073,2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1123794079,112399944,1
1252,2011,126,150000000,73864507,185770160,15.841,1.6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1123794079,392000694,13
1253,2010,138,80000000,128012934,294804195,15.599,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1123794079,392000694,13
1254,1993,139,34000000,32255440,32255440,9.952,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1131845802,392000694,13
1255,1995,178,52000000,42512375,116112375,10.63,2.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1670400637,392000694,13
1256,1990,146,25000000,46836214,46879633,9.366,1.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,392000694,13
1257,2006,151,90000000,132384315,291465034,15.338,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1341932398,392000694,13
1258,1991,128,35000000,79091969,182291969,9.355,-0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300854823,392000694,13
1259,2002,167,100000000,77812000,193772504,13.493,1.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,306776732,392000694,13
1260,1997,134,28000000,5684789,5684789,11.522,4.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16797191,392000694,13
1261,1999,121,55000000,16797191,16797191,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16797191,392000694,13
1262,2004,170,110000000,102610330,213719942,14.406,3.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,213719942,392000694,13
1263,2016,161,46000000,7100177,23737523,17.689,1.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23737523,392000694,13
1264,2013,180,100000000,116900694,392000694,16.495,1.8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392000694,392000694,13
1265,2009,118,175000000,150201498,302469017,15.209,-2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,443280904,7
1266,1999,124,80000000,155385488,415933406,12.611,4.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1670400637,443280904,7
1267,2001,130,98000000,202019785,443280904,13.262,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1670400637,443280904,7
1268,2004,131,160000000,120177084,300157638,14.406,3.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1670400637,443280904,7
1269,1993,108,6500000,24103594,24103594,9.952,2.8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24103594,443280904,7
1270,1994,111,27000000,43229904,43229904,10.352,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,43229904,443280904,7
1271,1998,106,45000000,11203026,11203026,12.038,4.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11203026,443280904,7
1272,2011,113,24000000,51802742,63543328,15.841,1.6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1123794079,63543328,3
1273,2006,116,15000000,9396870,10903846,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10903846,63543328,3
1274,2005,116,2800000,22202809,23563727,14.913,3.5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23563727,63543328,3
1275,2009,83,25000000,25662155,31439140,15.209,-2.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1123794079,31439140,1
1276,2016,103,15000000,72082998,110216998,17.689,1.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1123794079,110216998,1
1277,2009,109,25000000,83823381,166842739,15.209,-2.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1123794079,231411584,7
1278,2011,94,12000000,16311571,22939027,15.841,1.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,231411584,7
1279,2014,119,16000000,705908,1705908,16.912,2.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,231411584,7
1280,2007,96,7500000,143495265,231411584,15.626,1.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,329398046,231411584,7
1281,2005,92,6500000,24793509,39323027,14.913,3.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39323027,231411584,7
1282,2018,95,13000000,9369755,15636462,18.638,2.9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,995064593,231411584,7
1283,2013,111,18000000,13371528,20275812,16.495,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,68263166,231411584,7
1284,2017,107,110000000,40563557,169801921,18.108,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,396592829,2
1285,2012,127,170000000,155332381,396592829,16.197,2.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,758410378,396592829,2
1286,2011,132,145000000,209397903,694713380,15.841,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1123794079,1242805359,5
1287,1999,86,70000000,23159305,23179225,12.611,4.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1242805359,5
1288,2015,130,190000000,93436322,209035668,17.404,2.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,1242805359,5
1289,2018,118,200000000,608581744,1242805359,18.638,2.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,1242805359,5
1290,2004,115,92000000,261441092,631606713,14.406,3.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073168585,1242805359,5
1291,2013,119,50000000,127352707,173649931,16.495,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,173649931,7
1292,2015,130,28000000,70259870,133440870,17.404,2.9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,173649931,7
1293,2006,108,72500000,148213377,162966177,15.338,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1131845802,173649931,7
1294,2008,98,65000000,100468793,128107642,15.605,-0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,173649931,7
1295,2010,107,100000000,119219978,170432927,15.599,2.6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,173649931,7
1296,2004,94,26000000,85288303,90517748,14.406,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923075336,173649931,7
1297,2018,132,60000000,47836282,76073488,18.638,2.9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145018230,173649931,7
1298,2009,105,20000000,754301,754301,15.209,-2.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,31603059,3
1299,2001,88,24000000,29831583,31603059,13.262,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31603059,31603059,3
1300,2006,107,3000000,32788,32788,15.338,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32788,31603059,3
1301,2014,101,125000000,191204754,485004754,16.912,2.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123794079,485004754,5
1302,2011,116,70000000,83552429,211819354,15.841,1.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1131845802,485004754,5
1303,2012,99,150000000,83670083,301970083,16.197,2.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,485004754,5
1304,2006,91,16000000,39517763,51764406,15.338,2.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1120424614,485004754,5
1305,2003,86,11000000,32551396,47488536,13.879,2.9,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,277448382,485004754,5
1306,2015,126,155000000,89760956,440603537,17.404,2.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1123794079,644783140,2
1307,2013,112,170000000,206362140,644783140,16.495,1.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2797800564,644783140,2
