,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies
38,1999,105,100000000,101071502,206071502,12.611,4.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1123794079,1025467110,15
39,2003,125,70000000,66809693,122919055,13.879,2.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1131845802,1025467110,15
40,1992,126,80000000,162902340,266903053,9.685,3.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,1025467110,15
41,2005,115,150000000,206459076,474968763,14.913,3.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1025467110,15
42,2012,113,150000000,79727149,245527149,16.197,2.2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1341932398,1025467110,15
43,1994,127,18000000,5887457,5887457,10.352,4.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553709788,1025467110,15
44,2010,108,200000000,334191110,1025467110,15.599,2.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110,15
45,2012,87,39000000,35291068,81491068,16.197,2.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110,15
46,2019,112,170000000,114766307,353284621,19.073,2.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110,15
47,1996,106,70000000,37771017,101371017,11.031,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101371017,1025467110,15
48,2007,116,50000000,52898073,152523164,15.626,1.9,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,923075336,1025467110,15
49,2014,106,10000000,14482031,29253166,16.912,2.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,425368238,1025467110,15
50,1991,107,17000000,4603929,4603929,9.355,-0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,4603929,1
51,1991,84,26000000,69467617,181096164,9.355,-0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,181096164,3
52,1993,86,25000000,38922972,133752825,9.952,2.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,181096164,3
53,1998,87,10000000,19889299,19889299,12.038,4.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19889299,181096164,3
54,1991,99,19000000,101599005,174999005,9.355,-0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,174999005,5
55,1993,87,17000000,44789789,60613008,9.952,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,174999005,5
56,1995,110,68000000,35431113,35431113,10.63,2.7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,174999005,5
57,2004,91,42000000,67133509,117592831,14.406,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,277448382,174999005,5
58,2017,106,40000000,240978,413844,18.108,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,413844,174999005,5
59,1992,114,50000000,55473545,159814498,9.685,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2789968301,369330363,10
60,2014,149,61000000,167767189,369330363,16.912,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2789968301,369330363,10
61,2007,157,65000000,33080084,84785914,15.626,1.9,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1123794079,369330363,10
62,2002,112,48000000,96397334,197079546,13.493,1.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1131845802,369330363,10
63,2010,120,40000000,96962694,224920315,15.599,2.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,369330363,10
