,Unnamed: 0,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income,DirectorGrossSum,ProductionCompSum,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
1611,1611,"[18, 36, 53]",tt0469641,"[4, 215, 763, 20396]",World Trade Center,2006,15.338,2.9,129,USA,Oliver Stone,65000000,70278893,162970240,577998044.0,4237133631.75,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1612,1612,"[35, 18, 14, 10749]",tt0420223,"[771, 1973]",Stranger Than Fiction,2006,15.338,2.9,113,USA,Marc Forster,30000000,40660952,53653224,170004179.0,60750411.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1613,1613,"[28, 12, 80, 53]",tt0430357,"[33, 675, 52844, 52845, 52846]",Miami Vice,2006,15.338,2.9,132,"USA, Germany, Paraguay, Uruguay",Michael Mann,135000000,63450470,163794509,628708561.0,4153104023.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1614,1614,[18],tt0454921,"[441, 1423, 7295, 12485]",The Pursuit of Happyness,2006,15.338,2.9,117,USA,Gabriele Muccino,55000000,163566459,307077295,1.0,2222824351.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1615,1615,[35],tt0455967,"[306, 444, 445, 7741, 7742]",John Tucker Must Die,2006,15.338,2.9,89,"USA, Canada",Betty Thomas,18000000,41011711,68824550,386420349.0,3590444947.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1616,1616,"[14, 12, 16, 35, 10751]",tt0429589,"[4171, 6194, 84419, 89136]",The Ant Bully,2006,15.338,2.9,88,USA,John A. Davis,50000000,28142535,55181129,102992536.0,6257016193.5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1617,1617,"[28, 53, 80]",tt0479884,"[35, 126, 2152, 11152]",Crank,2006,15.338,2.9,88,USA,"Mark Neveldine, Brian Taylor",12000000,27838408,42931041,1.0,579109551.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1618,1618,"[16, 35, 10751]",tt0414853,"[4, 2348, 24955]",Barnyard,2006,15.338,2.9,90,"USA, Germany, Netherlands",Steve Oedekerk,51000000,72637803,116476887,212385533.0,5556312084.666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1619,1619,"[10402, 18, 10749, 80]",tt0462590,"[491, 2378, 9195, 74192]",Step Up,2006,15.338,2.9,104,USA,Anne Fletcher,12000000,65328121,114197742,1.0,2327874442.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1620,1620,"[10751, 14, 35]",tt0383060,"[5, 497]",Zoom,2006,15.338,2.9,83,USA,Peter Hewitt,35000000,11989328,12506188,198964901.0,4731231369.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1621,1621,[18],tt0468489,"[446, 2290, 2291, 2292, 2293, 2294]",Half Nelson,2006,15.338,2.9,106,USA,Ryan Fleck,700000,2697938,4660481,1.0,90906.16666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
